Tree type;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
Suffix;1.758347988128662;189;500;0.3060703670874088;0.2760416666666662;0.22802295451963975;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
Mid-gram;1.2432680130004883;149;500;0.25929754273504274;0.18437499999999984;0.18307333503179507;0.24161073825503357;0.03355704697986577;0.013422818791946308;0.06711409395973154;0.04697986577181208;0.5973154362416108;0.053811659192825115;0.005979073243647235;0.005979073243647235;0.014947683109118086;0.01195814648729447;0.9073243647234679;0.08801955990220049;0.010149708195889368;0.008273009307135471;0.024449877750611252;0.019063829787234043;0.7203835075741413
Range-gram 0.1-1.0;4.880270004272461;70;500;0.18702902610256558;0.22604166666666634;0.14537591011259499;0.12857142857142856;0.08571428571428572;0.02857142857142857;0.07142857142857142;0.08571428571428572;0.6;0.013452914798206279;0.01195814648729447;0.0029895366218236174;0.013452914798206279;0.02391629297458894;0.9342301943198804;0.02435723951285521;0.0209881941407958;0.005412719891745602;0.022641509433962266;0.03739774055317491;0.730709275136399
5-gram;0.8058111667633057;201;500;0.21099452751862682;0.7916666666666762;0.225091755219831;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.10945273631840796;0.5920398009950248;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.08557831574591351;0.6955926933540613
